route,service,seq,station,down_arrive,down_arrive_day,down_depart,down_depart_day,up_arrive,up_arrive_day,up_depart,up_depart_day,frequency,down_days,up_days
sanin,,3,松江 Matsue,12:15,,,,,,13:00,,daily,,
shikoku,,1,大阪 Osaka,,,11:10,,16:00,,,,daily,,
shikoku,,2,徳島 Tokushima,11:55,,12:05,,15:05,,15:15,,daily,,
shikoku,,3,高知 Kōchi,13:15,,,,,,13:55,,daily,,
taiwan,,1,福岡 Fukuoka,,,11:00,,13:00,,,,daily,,
taiwan,,2,那覇 Naha,14:00,,14:30,,9:00,,9:30,,daily,,
taiwan,,3,臺北 Taihoku,16:50,,,,,,6:30,,daily,,
taiwan-east,,1,臺北 Taihoku,,,8:50,,15:25,,,,daily,,
taiwan-east,,2,宜蘭 Giran,9:10,,9:20,,14:55,,15:05,,daily,,
taiwan-east,,3,花蓮港 Karenkō,9:50,,10:00,,14:15,,14:25,,daily,,
taiwan-east,,4,臺東 Taitō,10:40,,10:50,,13:25,,13:35,,daily,,
taiwan-east,,5,屏東 Heitō,11:25,,11:35,,12:40,,12:50,,daily,,
taiwan-east,,6,臺南 Tainan,11:45,,,,,,12:30,,daily,,
taiwan-west,,1,臺北 Taihoku,,,9:00,,14:55,,,,daily,,
taiwan-west,,2,臺中 Taichū,9:35,,9:45,,14:10,,14:20,,daily,,
taiwan-west,,3,臺南 Tainan,10:25,,10:40,,11:40,,13:30,,daily,,
taiwan-west,,4,馬公 Makō,11:05,,11:15,,,,,,even-numbered days,,
tohoku,,1,東京 Tokyo,,,9:30,,14:10,,,,daily,,
tohoku,,2,仙台 Sendai,11:00,,11:20,,12:20,,12:30,,daily,,
tohoku,,3,青森 Aomori,13:00,,13:10,,10:30,,10:40,,daily,,
tohoku,,4,札幌 Sapporo,14:40,,,,,,9:00,,daily,,
china-shanghai,,1,北京 Peking,,,9:30,,15:00,,,,daily,,
china-shanghai,,2,天津 Tientsin,10:00,,10:10,,14:20,,14:30,,daily,,
china-shanghai,,3,濟南 Tsinan,11:10,,11:30,,13:00,,13:20,,daily,,
china-shanghai,,4,徐州 Hsuchow,12:30,,12:40,,11:50,,12:00,,daily,,
china-shanghai,,5,南京 Nanking,13:40,,14:00,,10:30,,10:50,,daily,,
china-shanghai,,6,上海 Shanghai,15:00,,,,,,9:30,,daily,,
china-baotou,,1,北京 Peking,,,10:00,,14:55,,,,"out Mondays, Wednesdays and Fridays; home Tuesdays, Thursdays and Saturdays",1 3 5,2 4 6
china-baotou,,2,張家口 Kalgan,11:10,,11:20,,13:35,,13:45,,"out Mondays, Wednesdays and Fridays; home Tuesdays, Thursdays and Saturdays",1 3 5,2 4 6
china-baotou,,3,大同 Tatung,12:20,,12:40,,12:15,,12:35,,"out Mondays, Wednesdays and Fridays; home Tuesdays, Thursdays and Saturdays",1 3 5,2 4 6
china-baotou,,4,厚和 Kōwa,13:50,,14:00,,10:55,,11:05,,"out Mondays, Wednesdays and Fridays; home Tuesdays, Thursdays and Saturdays",1 3 5,2 4 6
china-baotou,,5,包頭 Paotow,14:55,,,,,,10:00,,"out Mondays, Wednesdays and Fridays; home Tuesdays, Thursdays and Saturdays",1 3 5,2 4 6
china-dairen,,1,北京 Peking,,,8:30,,16:00,,,,daily,,
china-dairen,,2,天津 Tientsin,8:55,,9:05,,15:25,,15:35,,daily,,
china-dairen,,3,大連 Dairen,10:20,,,,,,14:00,,daily,,
china-hankou,"Nanking – Hankow, calling at Anking and Kiukiang",2,南京 Nanking,,,9:00,,14:50,,,,daily,,
china-hankou,"Nanking – Hankow, calling at Anking and Kiukiang",3,安慶 Anking,10:00,,10:10,,13:40,,13:50,,daily,,
china-hankou,"Nanking – Hankow, calling at Anking and Kiukiang",4,九江 Kiukiang,10:40,,10:50,,13:00,,13:10,,daily,,
china-hankou,"Nanking – Hankow, calling at Anking and Kiukiang",5,漢口 Hankow,11:40,,,,,,12:10,,daily,,
china-hankou,"Shanghai – Hankow, over Nanking",1,上海 Shanghai,,,9:00,,17:10,,,,daily,,
china-hankou,"Shanghai – Hankow, over Nanking",2,南京 Nanking,10:10,,10:25,,15:45,,16:00,,daily,,
china-hankou,"Shanghai – Hankow, over Nanking",5,漢口 Hankow,12:50,,,,,,13:20,,daily,,
china-hankou,Nanking – Shanghai shuttle,1,上海 Shanghai,,,14:00,,11:10,,,,daily,,
china-hankou,Nanking – Shanghai shuttle,2,南京 Nanking,15:10,,,,,,10:00,,daily,,
cnac-shanghai-hankou,,1,上海 Shanghai,,,8:00,,15:05,,,,daily except Mondays,2 3 4 5 6 7,2 3 4 5 6 7
cnac-shanghai-hankou,,2,南京 Nanking,10:15,,10:30,,12:35,,12:50,,daily except Mondays,2 3 4 5 6 7,2 3 4 5 6 7
cnac-shanghai-hankou,,3,安慶 Anking,12:15,,12:20,,10:45,,10:50,,daily except Mondays,2 3 4 5 6 7,2 3 4 5 6 7
cnac-shanghai-hankou,,4,九江 Kiukiang,13:20,,13:35,,9:30,,9:45,,daily except Mondays,2 3 4 5 6 7,2 3 4 5 6 7
cnac-shanghai-hankou,,5,漢口 Hankow,15:05,,,,,,8:00,,daily except Mondays,2 3 4 5 6 7,2 3 4 5 6 7
cnac-hankou-chungking,,1,漢口 Hankow,,,7:50,,15:50,,,,"out Wednesdays and Saturdays; home Tuesdays, Thursdays and Saturdays",3 6,2 4 6
cnac-hankou-chungking,,2,沙市 Shasi,9:20,,9:25,,14:15,,14:20,,"out Wednesdays and Saturdays; home Tuesdays, Thursdays and Saturdays",3 6,2 4 6
cnac-hankou-chungking,,3,宜昌 Ichang,10:10,,10:25,,13:15,,13:30,,"out Wednesdays and Saturdays; home Tuesdays, Thursdays and Saturdays",3 6,2 4 6
cnac-hankou-chungking,,4,萬縣 Wanhsien,12:35,,12:50,,10:50,,11:05,,"out Wednesdays and Saturdays; home Tuesdays, Thursdays and Saturdays",3 6,2 4 6
cnac-hankou-chungking,,5,重慶 Chungking,14:40,,,,,,9:00,,"out Wednesdays and Saturdays; home Tuesdays, Thursdays and Saturdays",3 6,2 4 6
cnac-shanghai-peiping,,1,上海 Shanghai,,,7:00,,16:00,,,,"out Tuesdays, Thursdays and Saturdays; home Wednesdays, Fridays and Sundays",2 4 6,3 5 7
cnac-shanghai-peiping,,2,海州 Haichow,10:00,,10:15,,12:45,,13:00,,"out Tuesdays, Thursdays and Saturdays; home Wednesdays, Fridays and Sundays",2 4 6,3 5 7
cnac-shanghai-peiping,,3,青島 Tsingtao,11:35,,11:50,,11:10,,11:25,,"out Tuesdays, Thursdays and Saturdays; home Wednesdays, Fridays and Sundays",2 4 6,3 5 7
cnac-shanghai-peiping,,4,天津 Tientsin,15:00,,15:15,,7:45,,8:00,,"out Tuesdays, Thursdays and Saturdays; home Wednesdays, Fridays and Sundays",2 4 6,3 5 7
cnac-shanghai-peiping,,5,北平 Peiping,16:00,,,,,,7:00,,"out Tuesdays, Thursdays and Saturdays; home Wednesdays, Fridays and Sundays",2 4 6,3 5 7
cnac-chungking-rangoon,,1,重慶 Chungking,,,7:30,,15:10,,,,"out Mondays, home Tuesdays",1,2
cnac-chungking-rangoon,,2,昆明 Kunming,10:10,,10:40,,12:00,,12:30,,"out Mondays, home Tuesdays",1,2
cnac-chungking-rangoon,,3,臘戌 Lashio,13:10,,13:40,,9:00,,9:30,,"out Mondays, home Tuesdays",1,2
cnac-chungking-rangoon,,4,仰光 Rangoon,16:40,,,,,,6:00,,"out Mondays, home Tuesdays",1,2
cnac-chungking-chengtu,"Mondays to Saturdays, less Thursdays",1,重慶 Chungking,,,10:00,,13:30,,,,"Mondays, Tuesdays, Wednesdays, Fridays and Saturdays",1 2 3 5 6,1 2 3 5 6
cnac-chungking-chengtu,"Mondays to Saturdays, less Thursdays",2,成都 Chengtu,11:30,,,,,,12:00,,"Mondays, Tuesdays, Wednesdays, Fridays and Saturdays",1 2 3 5 6,1 2 3 5 6
cnac-chungking-chengtu,Thursdays and Sundays,1,重慶 Chungking,,,10:00,,13:20,,,,Thursdays and Sundays,4 7,4 7
cnac-chungking-chengtu,Thursdays and Sundays,2,成都 Chengtu,11:20,,,,,,12:00,,Thursdays and Sundays,4 7,4 7
cnac-chungking-kiating,,1,重慶 Chungking,,,12:00,,11:30,,,,"Mondays and Thursdays, both ways",1 4,1 4
cnac-chungking-kiating,,2,瀘州 Luchow,13:00,,13:15,,10:15,,10:30,,"Mondays and Thursdays, both ways",1 4,1 4
cnac-chungking-kiating,,3,宜賓 Suifu,14:00,,14:30,,9:00,,9:30,,"Mondays and Thursdays, both ways",1 4,1 4
cnac-chungking-kiating,,4,樂山 Kiating,15:30,,,,,,8:00,,"Mondays and Thursdays, both ways",1 4,1 4
cnac-shanghai-canton,,1,上海 Shanghai,,,6:30,,15:00,,,,south on Tuesdays and Fridays; north on Thursdays and Sundays,2 5,4 7
cnac-shanghai-canton,,2,溫州 Wenchow,8:25,,8:45,,12:45,,13:05,,south on Tuesdays and Fridays; north on Thursdays and Sundays,2 5,4 7
cnac-shanghai-canton,,3,福州 Foochow,10:05,,10:25,,11:05,,11:25,,south on Tuesdays and Fridays; north on Thursdays and Sundays,2 5,4 7
cnac-shanghai-canton,,4,廈門 Amoy,11:35,,11:55,,9:35,,9:55,,south on Tuesdays and Fridays; north on Thursdays and Sundays,2 5,4 7
cnac-shanghai-canton,,5,汕頭 Swatow,12:55,,13:15,,8:15,,8:35,,south on Tuesdays and Fridays; north on Thursdays and Sundays,2 5,4 7
cnac-shanghai-canton,,6,廣州 Canton,15:00,,,,,,6:30,,south on Tuesdays and Fridays; north on Thursdays and Sundays,2 5,4 7
mkkk-manchouli-hsinking,"Manchouli – Shinkyō, the whole line",1,満洲里 Manchouli,,,9:30,,14:50,,,,south Tuesdays and Fridays; north Mondays and Thursdays,2 5,1 4
mkkk-manchouli-hsinking,"Manchouli – Shinkyō, the whole line",2,海拉爾 Hailar,10:25,,10:35,,13:40,,13:50,,south Tuesdays and Fridays; north Mondays and Thursdays,2 5,1 4
mkkk-manchouli-hsinking,"Manchouli – Shinkyō, the whole line",3,斉斉哈爾 Tsitsihar,12:50,,13:00,,11:00,,11:10,,south Tuesdays and Fridays; north Mondays and Thursdays,2 5,1 4
mkkk-manchouli-hsinking,"Manchouli – Shinkyō, the whole line",4,哈爾濱 Harbin,14:20,,14:30,,9:10,,9:20,,south Tuesdays and Fridays; north Mondays and Thursdays,2 5,1 4
mkkk-manchouli-hsinking,"Manchouli – Shinkyō, the whole line",5,新京 Xinjing,15:35,,,,,,8:00,,south Tuesdays and Fridays; north Mondays and Thursdays,2 5,1 4
mkkk-manchouli-hsinking,Tsitsihar – Shinkyō,3,斉斉哈爾 Tsitsihar,,,13:00,,11:00,,,,daily; the days the through service does not run beyond Tsitsihar,1 3 4 6 7,2 3 5 6 7
mkkk-manchouli-hsinking,Tsitsihar – Shinkyō,4,哈爾濱 Harbin,14:20,,14:30,,9:10,,9:20,,daily; the days the through service does not run beyond Tsitsihar,1 3 4 6 7,2 3 5 6 7
mkkk-manchouli-hsinking,Tsitsihar – Shinkyō,5,新京 Xinjing,15:35,,,,,,8:00,,daily; the days the through service does not run beyond Tsitsihar,1 3 4 6 7,2 3 5 6 7
mkkk-harbin-dairen,,1,哈爾濱 Harbin,,,10:00,,14:50,,,,daily,1 2 3 4 5 6 7,1 2 3 4 5 6 7
mkkk-harbin-dairen,,2,新京 Xinjing,11:15,,11:25,,13:30,,13:40,,daily,1 2 3 4 5 6 7,1 2 3 4 5 6 7
mkkk-harbin-dairen,,3,奉天 Mukden,12:55,,13:05,,11:55,,12:05,,daily,1 2 3 4 5 6 7,1 2 3 4 5 6 7
mkkk-harbin-dairen,,4,大連 Dairen,14:50,,,,,,10:00,,daily,1 2 3 4 5 6 7,1 2 3 4 5 6 7
mkkk-hsinking-shingishu,,1,新京 Xinjing,,,4:00,,,,,,daily except Mondays,2 3 4 5 6 7,
mkkk-hsinking-shingishu,,2,奉天 Mukden,5:40,,6:00,,,,,,daily except Mondays,2 3 4 5 6 7,
mkkk-hsinking-shingishu,,3,新義州 Shingishū,7:15,,,,,,,,daily except Mondays,2 3 4 5 6 7,
patco-manila-baguio,,1,Manila,,,6:30,,8:40,,,,daily,1 2 3 4 5 6 7,1 2 3 4 5 6 7
patco-manila-baguio,,2,Baguio,7:30,,,,,,7:40,,daily,1 2 3 4 5 6 7,1 2 3 4 5 6 7
siam-korat-nakhonphanom,Korat – Nakhon Phanom,1,Korat,,,7:00,,12:40,,,,"out Wednesdays, home Thursdays",3,4
siam-korat-nakhonphanom,Korat – Nakhon Phanom,2,Roi Et,8:40,,8:40,,11:20,,11:20,,"out Wednesdays, home Thursdays",3,4
siam-korat-nakhonphanom,Korat – Nakhon Phanom,3,Khon Kaen,9:40,,9:40,,10:20,,10:20,,"out Wednesdays, home Thursdays",3,4
siam-korat-nakhonphanom,Korat – Nakhon Phanom,4,Udon Thani,10:50,,10:50,,9:15,,9:15,,"out Wednesdays, home Thursdays",3,4
siam-korat-nakhonphanom,Korat – Nakhon Phanom,5,Nakhon Phanom,12:40,,,,,,7:00,,"out Wednesdays, home Thursdays",3,4
siam-korat-nakhonphanom,Korat – Udon Thani,1,Korat,,,7:00,,13:15,,,,out and back on Mondays,1,1
siam-korat-nakhonphanom,Korat – Udon Thani,3,Khon Kaen,8:35,,8:35,,12:00,,12:00,,out and back on Mondays,1,1
siam-korat-nakhonphanom,Korat – Udon Thani,4,Udon Thani,9:20,,,,,,11:00,,out and back on Mondays,1,1
ina-calcutta-rangoon,,1,Calcutta,,,7:00,,16:15,,,,"east on Tuesdays, west on Fridays",2,5
ina-calcutta-rangoon,,2,Chittagong,9:30,,9:50,,13:39,,13:59,,"east on Tuesdays, west on Fridays",2,5
ina-calcutta-rangoon,,3,Akyab,12:00,,12:45,,11:20,,12:05,,"east on Tuesdays, west on Fridays",2,5
ina-calcutta-rangoon,,4,Bassein,15:45,,16:10,,8:00,,8:20,,"east on Tuesdays, west on Fridays",2,5
ina-calcutta-rangoon,,5,Rangoon,17:15,,,,,,7:00,,"east on Tuesdays, west on Fridays",2,5
ina-calcutta-dacca,Weekdays,1,Calcutta,,,7:00,,13:03,,,,Mondays to Saturdays,1 2 3 4 5 6,1 2 3 4 5 6
ina-calcutta-dacca,Weekdays,2,Dacca,8:52,,,,,,11:32,,Mondays to Saturdays,1 2 3 4 5 6,1 2 3 4 5 6
ina-calcutta-dacca,"Sundays, homeward only",1,Calcutta,,,,,17:31,,,,Sundays,,7
ina-calcutta-dacca,"Sundays, homeward only",2,Dacca,,,,,,,16:00,,Sundays,,7
ina-delhi-karachi,Delhi – Karachi,1,Delhi,,,11:45,,13:05,,,,"down Sundays, Tuesdays and Thursdays; up Mondays, Wednesdays and Thursdays",2 4 7,1 3 4
ina-delhi-karachi,Delhi – Karachi,2,Lahore,13:20,,14:00,,11:00,,11:30,,"down Sundays, Tuesdays and Thursdays; up Mondays, Wednesdays and Thursdays",2 4 7,1 3 4
ina-delhi-karachi,Delhi – Karachi,3,Multan,15:15,,15:30,,9:30,,9:45,,"down Sundays, Tuesdays and Thursdays; up Mondays, Wednesdays and Thursdays",2 4 7,1 3 4
ina-delhi-karachi,Delhi – Karachi,4,Jacobabad,17:00,,17:30,,7:25,,8:00,,"down Sundays, Tuesdays and Thursdays; up Mondays, Wednesdays and Thursdays",2 4 7,1 3 4
ina-delhi-karachi,Delhi – Karachi,5,Karachi,19:10,,,,,,5:45,,"down Sundays, Tuesdays and Thursdays; up Mondays, Wednesdays and Thursdays",2 4 7,1 3 4
ina-delhi-karachi,Lahore – Karachi,2,Lahore,,,11:00,,13:30,,,,down Wednesdays and Saturdays; up Sundays and Tuesdays,3 6,2 7
ina-delhi-karachi,Lahore – Karachi,3,Multan,13:00,,13:15,,11:15,,11:30,,down Wednesdays and Saturdays; up Sundays and Tuesdays,3 6,2 7
ina-delhi-karachi,Lahore – Karachi,4,Jacobabad,15:45,,16:00,,8:30,,8:45,,down Wednesdays and Saturdays; up Sundays and Tuesdays,3 6,2 7
ina-delhi-karachi,Lahore – Karachi,5,Karachi,19:00,,,,,,5:30,,down Wednesdays and Saturdays; up Sundays and Tuesdays,3 6,2 7
